|text|rt_count|tweet_datetime|e|tokens
0|I'm so sorry, no not really|0|Mon Feb 15 20:41:16 +0000 2016|I've got some issues that nobody can see|I'm so sorry, no not really
1|@EnglandRugby: #RedRoseChat Q4. Still to come: Ireland (H), Wales (H) &amp; France (A). Any players that you   re particularly wary of? https:   |4|Mon Feb 15 20:41:16 +0000 2016|I've got some issues that nobody can see|@EnglandRugby: #RedRoseChat Q4. Still to come: Ireland (H), Wales (H) &amp; France (A). Any players that you   re particularly wary of? https:   
2|@JasparUSA: I think @Joe_Sugg forgot it was #SUGGSUNDAY, he didn't even tweet it     |2|Mon Feb 15 20:41:16 +0000 2016|I've got some issues that nobody can see|@JasparUSA: I think @Joe_Sugg forgot it was #SUGGSUNDAY, he didn't even tweet it     
3|"@Italians4Trump: DONALD J. TRUMP FOR PRESIDENT, INC. OPED - The Culture of Life | Donald J Trump for President https://t.co/uXtzf5gXfd"|2|Mon Feb 15 20:41:16 +0000 2016|I've got some issues that nobody can see|"@Italians4Trump: DONALD J. TRUMP FOR PRESIDENT, INC. OPED - The Culture of Life | Donald J Trump for President https://t.co/uXtzf5gXfd"
4|MAN I CANT LIE IM STILL WEAK BUT I GOTTA CHILL        |0|Mon Feb 15 20:41:16 +0000 2016|I've got some issues that nobody can see|MAN I CANT LIE IM STILL WEAK BUT I GOTTA CHILL        
5|"I'm Not Crazy..I'm Allergic! #5Stars ""meticulously researched(&amp; extremely thought provoking) study"" https://t.co/6fTlWYh4v8 #indiewritersupp"|0|Mon Feb 15 20:42:39 +0000 2016|I've got some issues that nobody can see|"I'm Not Crazy..I'm Allergic! #5Stars ""meticulously researched(&amp; extremely thought provoking) study"" https://t.co/6fTlWYh4v8 #indiewritersupp"
6|"@AldenBAE_07: Close your eyes,
fall in love,
stay there :)

 #ALDUB7thMonthsary https://t.co/F7Z3s8rH5H"|1|Mon Feb 15 20:42:39 +0000 2016|I've got some issues that nobody can see|"@AldenBAE_07: Close your eyes,
fall in love,
stay there :)

 #ALDUB7thMonthsary https://t.co/F7Z3s8rH5H"
7|@eleeeyeeleh I'm a 'they're waiting' type|0|Mon Feb 15 20:42:39 +0000 2016|I've got some issues that nobody can see|@eleeeyeeleh I'm a 'they're waiting' type
8|@Ken_DeMange Just heard that too, beat me to it. Not attacking down the right might be having an impact on that.|0|Mon Feb 15 20:42:39 +0000 2016|I've got some issues that nobody can see|@Ken_DeMange Just heard that too, beat me to it. Not attacking down the right might be having an impact on that.
9|@JohnEastCoast: @Kleptocratia @BryanJFischer @Wildharv @FDRLST Dems passed resolution in 1960 against election year SCOTUS appts and the   |2|Mon Feb 15 20:42:39 +0000 2016|I've got some issues that nobody can see|@JohnEastCoast: @Kleptocratia @BryanJFischer @Wildharv @FDRLST Dems passed resolution in 1960 against election year SCOTUS appts and the   
10|Is that a elephant fighting a deer              https://t.co/ffimY7np1l|0|Mon Feb 15 20:42:39 +0000 2016|I've got some issues that nobody can see|Is that a elephant fighting a deer              https://t.co/ffimY7np1l
11|@Bre2xs_: I really need to lose some weight before the summer|2|Mon Feb 15 20:42:39 +0000 2016|I've got some issues that nobody can see|@Bre2xs_: I really need to lose some weight before the summer
12|really want a Mac|0|Mon Feb 15 20:42:39 +0000 2016|I've got some issues that nobody can see|really want a Mac
13|when everything is on the right places @TheMattEspinosa https://t.co/O2jf7TZssT|0|Mon Feb 15 20:42:39 +0000 2016|I've got some issues that nobody can see|when everything is on the right places @TheMattEspinosa https://t.co/O2jf7TZssT
14|at times https://t.co/jktgWD7nwP|0|Mon Feb 15 20:44:33 +0000 2016|I've got some issues that nobody can see|at times https://t.co/jktgWD7nwP
15|@krellard: I don't have time for incompetent, white trash little girls. kiss my ass and my Michael &lt;3|1|Mon Feb 15 20:44:33 +0000 2016|I've got some issues that nobody can see|@krellard: I don't have time for incompetent, white trash little girls. kiss my ass and my Michael &lt;3
16|Someone bring me to the mall or hang w me :)|0|Mon Feb 15 20:44:33 +0000 2016|I've got some issues that nobody can see|Someone bring me to the mall or hang w me :)
17|I love you more, sweetie.          https://t.co/vTrwXayw5c|0|Mon Feb 15 20:44:33 +0000 2016|I've got some issues that nobody can see|I love you more, sweetie.          https://t.co/vTrwXayw5c
18|I'm at Qurtuba in Kuwait https://t.co/ViiID8p89j|0|Mon Feb 15 20:44:33 +0000 2016|I've got some issues that nobody can see|I'm at Qurtuba in Kuwait https://t.co/ViiID8p89j
19|Let's Try - The Shield: The Game (Part 2) https://t.co/6BtwgM4dKm via @YouTube|0|Mon Feb 15 20:44:33 +0000 2016|I've got some issues that nobody can see|Let's Try - The Shield: The Game (Part 2) https://t.co/6BtwgM4dKm via @YouTube
20|@BlueMarlinUAE: What a night! Were you there? FIRE FESTIVAL WITH @santemusic AND @blond_ish @BlueMarlinUAE #DubaiParty #MyDubai https://   |2|Mon Feb 15 20:44:33 +0000 2016|I've got some issues that nobody can see|@BlueMarlinUAE: What a night! Were you there? FIRE FESTIVAL WITH @santemusic AND @blond_ish @BlueMarlinUAE #DubaiParty #MyDubai https://   
21|@iKnoYouWatching: It really do though.                    https://t.co/2sg1GoHl3Q|1|Mon Feb 15 20:44:33 +0000 2016|I've got some issues that nobody can see|@iKnoYouWatching: It really do though.                    https://t.co/2sg1GoHl3Q
22|Would you lie about how many sexual partners you've had?|0|Mon Feb 15 20:44:33 +0000 2016|I've got some issues that nobody can see|Would you lie about how many sexual partners you've had?
23|@RealMikeWelch @miss_linseylynn That's why Coldstone is the best date spot am I right?|0|Mon Feb 15 20:44:33 +0000 2016|I've got some issues that nobody can see|@RealMikeWelch @miss_linseylynn That's why Coldstone is the best date spot am I right?
24|one person followed me and one person unfollowed me // automatically checked by https://t.co/kDATleTJLp|0|Mon Feb 15 20:44:33 +0000 2016|I've got some issues that nobody can see|one person followed me and one person unfollowed me // automatically checked by https://t.co/kDATleTJLp
25|"@CuratedATL: Shop our Presidents' Day sale | 20 items are now 20% OFF online | Use code ""2020"" at checkout,    https://t.co/9sKIlnxqh8"|1|Mon Feb 15 20:44:33 +0000 2016|I've got some issues that nobody can see|"@CuratedATL: Shop our Presidents' Day sale | 20 items are now 20% OFF online | Use code ""2020"" at checkout,    https://t.co/9sKIlnxqh8"
26|@whenthewolves love u too|0|Mon Feb 15 20:44:33 +0000 2016|I've got some issues that nobody can see|@whenthewolves love u too
27|@zakearaaaa: don't let Instagram, twitter, facebook, periscope, bebo, myspace, OR NO OTHER SOCIAL MEDIA SIGHT BE THE REASON YOU GET YOUR   |6|Mon Feb 15 20:44:33 +0000 2016|I've got some issues that nobody can see|@zakearaaaa: don't let Instagram, twitter, facebook, periscope, bebo, myspace, OR NO OTHER SOCIAL MEDIA SIGHT BE THE REASON YOU GET YOUR   
28|EDEN WAKAME SEAWEED 2.1 OZ Popular for Its Essential Role as the Lovely Green in Miso Soup. Grown Off the Ise Coast https://t.co/IS7BpchG7V|0|Mon Feb 15 20:44:33 +0000 2016|I've got some issues that nobody can see|EDEN WAKAME SEAWEED 2.1 OZ Popular for Its Essential Role as the Lovely Green in Miso Soup. Grown Off the Ise Coast https://t.co/IS7BpchG7V
29|"@RonPaulInstitut: Presidents Day 2016: Who Was Best? Who Was Worst?
https://t.co/eogbFSk6e0"|2|Mon Feb 15 20:44:33 +0000 2016|I've got some issues that nobody can see|"@RonPaulInstitut: Presidents Day 2016: Who Was Best? Who Was Worst?
https://t.co/eogbFSk6e0"
30|@ScotsFyre: They can't stop him from nominating. And the Dems can thank Reid for the 60 vote threshold @catfanfl @gabrielmalor @jonfavs|7|Mon Feb 15 20:44:33 +0000 2016|I've got some issues that nobody can see|@ScotsFyre: They can't stop him from nominating. And the Dems can thank Reid for the 60 vote threshold @catfanfl @gabrielmalor @jonfavs
31|PLEASE SIGN and RETURN Self Inking Rubber Stamp Red Ink 42A1539WEB-R Ensure Efficient Communication and Provide https://t.co/KarxbrLaAe|0|Mon Feb 15 20:44:33 +0000 2016|I've got some issues that nobody can see|PLEASE SIGN and RETURN Self Inking Rubber Stamp Red Ink 42A1539WEB-R Ensure Efficient Communication and Provide https://t.co/KarxbrLaAe
32|@JustaFan18: @rcarr57 @AOL Interesting to want someone who knows the real #constitution &amp; #laws of #America &amp; #SCOTUS #job.|1|Mon Feb 15 20:44:33 +0000 2016|I've got some issues that nobody can see|@JustaFan18: @rcarr57 @AOL Interesting to want someone who knows the real #constitution &amp; #laws of #America &amp; #SCOTUS #job.
